Kodu,Parfüm Adı,Cinsiyet,Esans,Alkol,Toplam Stok,Fiyat MG/$/KG,Fiyat TL/50 GR,bas_notalar,kalp_notalar,dip_notalar,mevsim,gunun_zamani,ortam,kiyafet_stili,koku_ailesi,koku_yogunlugu,duygusal_etiketler,aciklama_tr
A-98,Amouge - Love Tuberose,Kadın,,,200.0,,,"Portakal Çiçeği, Gardenya, Yasemin","Tuberose, Ylang-Ylang, Gül","Sandal Ağacı, Misk, Vanilya","İlkbahar, Yaz","Gündüz, Gece","Romantik, Özel Davet","Şık, Feminen","Çiçeksi, Pudralı",Orta,"romantik, zarif, feminen","Love Tuberose, tuberozun başrolde olduğu zarif ve romantik kadın parfümüdür."
A-110,Alexandre j - Silver Ombre,Unisex,,,0.0,60,176,"Bergamot, Lavanta, Biber","Sedir, Paçuli, İris","Misk, Amber, Sandal Ağacı","İlkbahar, Sonbahar","Gündüz, Gece","Ofis, Günlük, Özel Davet","Klasik, Şık","Odunsu, Aromatik",Orta,"zarif, dengeli, sofistike","Silver Ombre, unisex kullanıma uygun, dengeli ve zarif odunsu-aromatik bir parfümdür."
A-111,And Other Stories -Arabesque Wood And Other Stories,Unisex,,,200.0,,176,"Bergamot, Portakal, Baharatlar","Sedir, Paçuli, Lavanta","Misk, Amber, Vanilya","İlkbahar, Sonbahar",Gündüz,"Günlük, Açık Hava","Casual, Bohem","Odunsu, Aromatik",Orta,"doğal, rahat, özgür","Arabesque Wood And Other Stories, doğal ve rahatlatıcı odunsu-aromatik notalarla unisex bir parfümdür."
A-112,Alfred - Dunhil Dunhil,Erkek,,,200.0,80,176,"Bergamot, Lavanta, Biber","Sedir, Paçuli, Tarçın","Misk, Amber, Sandal Ağacı","Sonbahar, Kış","Gündüz, Gece","Ofis, Günlük, Özel Davet","Klasik, Şık","Odunsu, Aromatik",Orta,"klasik, güvenilir, sofistike","Dunhill Dunhill, klasik ve zamansız aromatik-odunsu bir erkek parfümüdür. Günlük ve özel kullanıma uygundur."
A-113,Alfred - Dunhil Desire Blue,Erkek,,,30.0,80,176,"Narenciye, Lavanta, Biber","Sedir, Paçuli, Tarçın","Misk, Amber, Vanilya","İlkbahar, Yaz",Gündüz,"Günlük, Açık Hava, Ofis","Casual, Sportif","Narenciye, Aromatik",Orta,"canlı, enerjik, ferah","Dunhill Desire Blue, taze ve enerjik narenciye-aromatik notalarla erkekler için ideal bir gündüz parfümüdür."
A-114,Atelier  Rebul - İstanbul,Erkek,,,200.0,,,"Narenciye, Bergamot, Limon","Lavanta, Yasemin, Sardunya","Sedir, Amber, Misk","İlkbahar,Yaz",Gündüz,"Günlük,Ofis,Açık Hava","Casual,Şık","Narenciye,Aromatik",Orta,"ferah,canlandırıcı,enerjik","Atelier Rebul İstanbul, ferah narenciye ve aromatik notalarıyla günlük kullanıma uygun, enerjik bir erkek parfümüdür."
A-115,Acqua Di Parm - Fico Di Amalfi,Unisex,,,400.0,,,"İncir Yaprağı, Bergamot, Mandalina","İncir, Yasemin, Zambak","Sedir, Misk, Amber","İlkbahar,Yaz",Her İkisi,"Günlük,Ofis,Açık Hava","Casual,Şık","Narenciye,Çiçeksi,Aromatik",Hafif,"doğal,ferah,rahatlatıcı","Acqua Di Parma Fico Di Amalfi, incir ve narenciye notalarıyla taze ve doğal bir unisex parfümdür."
A-119,Armani - Acqua di gio,Erkek,,,170.0,90,264,"Bergamot, Neroli, Yasemin","Sardunya, Biber, Misk","Sedir, Paçuli, Amber","İlkbahar,Yaz",Gündüz,"Ofis,Günlük,Açık Hava","Casual,Formal","Narenciye,Aromatik,Odunsu",Orta,"ferah,klasik,temiz","Armani Acqua di Gio, ferah ve deniz esintili notalarıyla erkekler için zamansız bir klasik."
A-120,Armani - acqua di gio pour homme 2022,Erkek,,,70.0,90,264,"Bergamot, Deniz Notası, Yeşil Mandalina","Sardunya, Yasemin, Biber","Paçuli, Sedir, Amber","İlkbahar,Yaz",Gündüz,"Ofis,Günlük,Açık Hava","Casual,Formal","Narenciye,Aromatik,Odunsu",Orta,"ferah,modern,enerjik","Armani Acqua di Gio Pour Homme 2022, taze deniz ve narenciye notalarıyla modern ve dinamik bir erkek parfümüdür."
A-121,Armani - acqua di gio profumo,Erkek,,,200.0,125,366,"Bergamot, Deniz Notası","Sage, Rosemary, Yasemin","Paçuli, Amber, Sedir","Sonbahar,Kış",Gece,"Özel Davet,Gece Hayatı,Romantik","Şık,Formal","Odunsu,Aromatik,Oryantal",Yoğun,"gizemli,çekici,derin","Armani Acqua di Gio Profumo, odunsu ve aromatik notalarla sofistike ve etkileyici bir gece parfümüdür."
A-122,Armani - si,Kadın,,,150.0,142,416,"Limon, Mandalina, Siyah Frenk Üzümü","Mayıs Gülü, Frezya, Nane","Vanilya, Misk, Paçuli","İlkbahar,Sonbahar",Her İkisi,"Ofis,Günlük,Özel Davet","Şık,Formal","Çiçeksi,Gourmand",Orta,"zarif,romantik,modern","Armani Si, modern ve zarif kadınlar için meyvemsi ve çiçeksi notaların dengeli birleşimidir."
A-123,Armani - si intense,Kadın,,,0.0,125,366,"Siyah Frenk Üzümü, Bergamot","Mayıs Gülü, Frezya, Misk","Vanilya, Paçuli, Amber","Sonbahar,Kış",Gece,"Özel Davet,Romantik,Gece Hayatı","Şık,Formal","Çiçeksi,Gourmand,Oryantal",Yoğun,"tutkulu,çekici,derin","Armani Si Intense, yoğun vanilya ve amber notalarıyla güçlü ve tutkulu kadınlar için tasarlanmıştır."
A-124,Armani – Stronger With You,Erkek,,,800.0,135,396,"Biber, Fesleğen, Lavanta","Tarçın, Kakule, Adaçayı","Vanilya, Misk, Amber","Sonbahar,Kış",Gece,"Gece Hayatı,Özel Davet,Romantik","Şık,Formal","Oryantal,Aromatik,Gourmand",Orta,"sıcak,çekici,özgüvenli","Armani Stronger With You, baharatlı ve tatlı notalarıyla sıcak ve çekici bir erkek parfümüdür."
A-125,Armani – Stronger With You Intensely,Erkek,,,600.0,126,369,"Biber, Lavanta, Tarçın","Kakule, Adaçayı, Karanfil","Vanilya, Amber, Misk","Sonbahar,Kış",Gece,"Gece Hayatı,Özel Davet,Romantik","Şık,Formal","Oryantal,Aromatik,Gourmand",Yoğun,"tutkulu,derin,çekici","Armani Stronger With You Intensely, yoğun baharat ve vanilya notalarıyla tutkulu ve etkileyici bir erkek kokusudur."
A-126,Armani-Profumo,Erkek,,,200.0,95,278,"Bergamot, Mandalina, Biber","Sedir, Yasemin, Adaçayı","Oud, Amber, Tonka Fasulyesi","Sonbahar,Kış",Gece,"Özel Davet,Gece Hayatı","Şık,Formal","Odunsu,Oryantal",Çok Yoğun,"lüks,gizemli,çekici","Armani Profumo, odunsu ve oryantal notalarıyla lüks ve etkileyici bir erkek parfümüdür."
A-127,Armani- Code Absolu Pour Homme,Erkek,,,200.0,135,396,"Ardıç, Tarçın, Zencefil","Tonka Fasulyesi, Vanilya, Kakule","Paçuli, Amber, Misk","Sonbahar,Kış",Gece,"Özel Davet,Gece Hayatı,Romantik","Şık,Formal","Oryantal,Odunsu,Gourmand",Yoğun,"çekici,sıcak,derin","Armani Code Absolu Pour Homme, baharatlı ve tatlı notalarıyla sofistike ve çekici bir erkek kokusudur."
A-128,Armani - Prive Jasmin Kusamono,Kadın,,,150.0,148,434,"Yasemin, Bergamot, Mandalina","Beyaz Çiçekler, Zambak","Sedir, Misk, Amber","İlkbahar,Yaz",Gündüz,"Özel Davet,Romantik","Şık,Formal","Çiçeksi,Odunsu",Orta,"zarif,romantik,temiz","Armani Prive Jasmin Kusamono, zarif yasemin ve beyaz çiçek notalarıyla özel günler için ideal bir kadın parfümüdür."
A-129,Aremy Marquis - Devin,Erkek,,,80.0,172,504,"Bergamot, Greyfurt, Limon","Lavanta, Adaçayı, Biber","Sedir, Misk, Amber","İlkbahar,Yaz",Gündüz,"Günlük,Ofis,Açık Hava","Casual,Sportif","Narenciye,Aromatik,Odunsu",Orta,"ferah,canlandırıcı,enerjik","Aremy Marquis Devin, taze narenciye ve aromatik notalarıyla dinamik ve ferah bir erkek parfümüdür."
A-130,Armani - Prive Oud Royal,Unisex,,,100.0,,,"Oud, Saffron, Amber","Gül, Yasemin, Paçuli","Sedir, Misk, Vanilya","Sonbahar,Kış",Gece,"Özel Davet,Gece Hayatı","Şık,Formal","Oryantal,Odunsu,Çiçeksi",Çok Yoğun,"lüks,gizemli,çekici","Armani Prive Oud Royal, yoğun oud ve çiçek notalarıyla lüks ve etkileyici unisex bir parfümdür."
A-131,Armani - Prive Vert Malachite,Unisex,,,100.0,,,"Yeşil Notlar, Bergamot, Nane","Fesleğen, Yasemin, Karanfil","Sedir, Vetiver, Misk","İlkbahar,Yaz",Gündüz,"Ofis,Günlük,Açık Hava","Casual,Şık","Yeşil,Odunsu,Aromatik",Orta,"ferah,doğal,canlandırıcı","Armani Prive Vert Malachite, yeşil ve odunsu notalarıyla ferah ve doğal bir unisex parfümdür."
A-132,Armani - Prive Encens Satin,Unisex,,,100.0,,,"Sedir, Amber, Tarçın","Encens, Labdanum, Tonka Fasulyesi","Vanilya, Misk, Sandal Ağacı","Sonbahar,Kış",Gece,"Özel Davet,Gece Hayatı","Şık,Formal","Oryantal,Odunsu",Yoğun,"Gizemli,Çekici,Sıcak","Encens Satin, zengin amber ve odunsu notalarla sofistike ve gizemli bir koku sunar. Akşam ve özel davetler için idealdir."
A-133,Armani - Prive Musc Shamal,Unisex,,,100.0,,,"Misk, Amber, Tarçın","Encens, Labdanum, Sedir","Vanilya, Sandal Ağacı, Misk","Sonbahar,Kış",Gece,"Özel Davet,Gece Hayatı","Şık,Formal","Oryantal,Odunsu",Yoğun,"Sıcak,Çekici,Gizemli","Musc Shamal, misk ve amberin büyüleyici birleşimiyle sofistike ve kalıcı bir unisex koku sunar. Akşam kullanımı için uygundur."
A-134,Armani - Attıtude,Erkek,,,100.0,,,"Bergamot, Greyfurt, Limon","Sedir, Paçuli, Tarçın","Misk, Amber, Vetiver","İlkbahar,Sonbahar",Gündüz,"Ofis,Günlük","Casual,Formal","Narenciye,Aromatik,Odunsu",Orta,"Enerjik,Özgüvenli,Modern","Attitude, taze narenciye ve odunsu notaların dengesiyle dinamik ve sofistike bir erkek kokusudur. Günlük ve ofis kullanımı için uygundur."
A-135,Armani - Si Passione,Kadın,,,200.0,,,"Armut, Siyah Frenk Üzümü, Bergamot","Jasmin, Frezya, Şakayık","Paçuli, Vanilya, Sedir","İlkbahar,Yaz","Gündüz,Gece","Romantik,Özel Davet,Günlük","Şık,Formal","Çiçeksi,Gourmand",Orta,"Tutkulu,Çekici,Canlı","Si Passione, meyvemsi ve çiçeksi notaların enerjik birleşimiyle tutkulu ve feminen bir koku sunar. Hem gündüz hem gece kullanıma uygundur."
A-136,Armani - Code Woman,Kadın,,,100.0,,,"Armut, Portakal Çiçeği, Bergamot","Zeytin Çiçeği, Yasemin, Mimoza","Vanilya, Tonka Fasulyesi, Misk","Sonbahar,Kış",Gece,"Özel Davet,Romantik","Şık,Formal","Çiçeksi,Oryantal",Orta,"Çekici,Sıcak,Şehvetli","Code Woman, sofistike ve baştan çıkarıcı çiçeksi-oriental bir koku. Akşam ve özel anlar için idealdir."
A-137,Armani - Prive Rose D'Arabie,Unisex,,,200.0,,,"Gül, Baharatlar, Tarçın","Amber, Labdanum, Misk","Vanilya, Sedir, Oud","Sonbahar,Kış",Gece,"Özel Davet,Romantik","Şık,Formal","Oryantal,Çiçeksi",Yoğun,"Lüks,Gizemli,Çekici","Rose D'Arabie, zengin gül ve baharat notalarıyla lüks ve etkileyici bir unisex koku. Akşam kullanımı için uygundur."
A-138,Armani - My Way,Kadın,,,200.0,,,"Bergamot, Portakal Çiçeği, Yasemin","Tuberose, Mavi Sığla, Vanilya Orkidesi","Sedir, Misk, Vanilya","İlkbahar,Yaz","Gündüz,Gece","Günlük,Özel Davet,Romantik","Şık,Casual","Çiçeksi,Aromatik",Orta,"Canlı,Neşeli,Modern","My Way, taze ve çiçeksi notaların enerjik birleşimiyle modern ve pozitif bir kadın kokusu. Günlük ve özel anlar için uygundur."
A-139*,Armani - Emporio Armani He,Erkek,,,200.0,,,"Bergamot, Nane, Greyfurt","Tarçın, Karanfil, Sardunya","Paçuli, Vetiver, Misk","İlkbahar,Sonbahar",Gündüz,"Ofis,Günlük","Casual,Formal","Narenciye,Aromatik,Odunsu",Orta,"Dinamik,Erkeksi,Canlı","Emporio Armani He, ferah narenciye ve baharat notalarıyla enerjik ve maskülen bir koku. Günlük kullanım için uygundur."
A-140,Azzaro - Chrome,Erkek,,,0.0,98,287,"Limon, Bergamot, Ananas","Mimoza, Tarçın, Sardunya","Misk, Sedir, Amber","İlkbahar,Yaz",Gündüz,"Günlük,Açık Hava","Casual,Sportif","Narenciye,Aromatik",Hafif,"Ferahlık,Canlılık,Özgürlük","Chrome, taze narenciye ve hafif odunsu notalarla ferah ve enerjik bir erkek kokusu. Yaz ve gündüz kullanımı için idealdir."
A-141,Azzaro - Wanted,Erkek,,,300.0,150,440,"Limon, Zencefil, Lavanta","Tarçın, Sardunya, Karanfil","Tonka Fasulyesi, Paçuli, Sedir","Sonbahar,Kış",Gece,"Gece Hayatı,Özel Davet","Şık,Formal","Aromatik,Oryantal",Orta,"Çekici,Karizmatik,Güçlü","Wanted, baharatlı ve odunsu notaların enerjik birleşimiyle cesur ve karizmatik bir erkek kokusu. Akşam ve özel anlar için uygundur."
A-142,Azzaro - Wanted Girl,Kadın,,,70.0,160,469,"Meyvemsi Notlar, Mandalina, Bergamot","Jasmin, Frezya, Gül","Vanilya, Misk, Sedir","İlkbahar,Yaz","Gündüz,Gece","Romantik,Özel Davet,Günlük","Şık,Casual","Çiçeksi,Gourmand",Orta,"Tatlı,Çekici,Neşeli","Wanted Girl, meyvemsi ve çiçeksi notalarla genç ve enerjik bir kadın kokusu. Hem gündüz hem gece kullanımı için uygundur."
A-150*,Acqua di parma blu mediterraneo - Mandarino di sicilia,Unisex,,,200.0,,,"Mandalina, Bergamot, Limon","Fesleğen, Biberiye, Adaçayı","Sedir, Amber, Misk","İlkbahar,Yaz",Gündüz,"Günlük,Açık Hava","Casual,Sportif","Narenciye,Aromatik,Odunsu",Hafif,"Ferahlık,Canlılık,Doğallık","Mandarino di Sicilia, taze narenciye ve aromatik otların birleşimiyle ferah ve canlı bir unisex koku. Yaz ve gündüz için idealdir."
B-101,Bogart - silver scent intense,Erkek,,,0.0,75,220,"Bergamot, Limon, Ananas","Tarçın, Karanfil, Yasemin","Misk, Amber, Sedir","Sonbahar,Kış","Gündüz,Gece","Günlük,Gece Hayatı","Casual,Şık","Odunsu,Aromatik",Orta,"Dinamik,Erkeksi,Çekici","Silver Scent Intense, odunsu ve baharatlı notalarla güçlü ve maskülen bir koku. Günlük ve gece kullanımı için uygundur."
B-102*,Bath & Body Works - Coffee & Whiskey,Erkek,,,200.0,,,"Kahve, Kakao, Baharatlar","Tütün, Vanilya, Misk","Sandal Ağacı, Amber, Misk","Sonbahar,Kış",Gece,"Gece Hayatı,Özel Davet","Şık,Formal","Gourmand,Oryantal",Yoğun,"Sıcak,Çekici,Gizemli","Coffee & Whiskey, kahve ve baharat notalarıyla sıcak ve yoğun bir erkek kokusu. Akşam ve özel anlar için idealdir."
B-110,Bond No:9 - New York Nıghts,Unisex,,,180.0,125,366,"Narenciye, Bergamot, Greyfurt","Yasemin, Gül, Misk","Paçuli, Amber, Vanilya","İlkbahar,Sonbahar",Gece,"Özel Davet,Gece Hayatı","Şık,Formal","Çiçeksi,Oryantal",Orta,"Lüks,Çekici,Gizemli","New York Nights, narenciye ve çiçeksi notaların sofistike birleşimiyle geceye özel unisex bir koku. Özel davetler için uygundur."
B-111,Bond No:9 - Signature Parfums,Unisex,,,180.0,180,528,"Bergamot, Mandalina, Yasemin","Gül, Misk, Amber","Sedir, Paçuli, Vanilya","İlkbahar, Sonbahar",Her İkisi,"Ofis, Özel Davet, Günlük","Şık, Klasik","Çiçeksi, Odunsu",Orta,"zarif, sofistike, modern","Bond No:9 Signature Parfums, zarif ve sofistike bir unisex kokudur. Günlük ve özel davetlerde rahatlıkla kullanılabilir."
B-112,Bond No:9 - Dubaı Amber,Unisex,,,100.0,,,"Saffron, Bergamot, Tarçın","Amber, Misk, Gül","Vanilya, Paçuli, Sandal Ağacı","Sonbahar, Kış",Gece,"Gece Hayatı, Özel Davet, Romantik","Şık, Klasik","Oryantal, Amber",Yoğun,"çekici, gizemli, sıcak","Bond No:9 Dubai Amber, sıcak ve gizemli amber notalarıyla öne çıkan yoğun bir unisex kokudur. Özellikle gece kullanımı için uygundur."
B-120,Burberry - burberry her elixir de parfum,Kadın,,,200.0,88,258,"Bergamot, Mandalina, Siyah Frenk Üzümü","Gül, Yasemin, İris","Sedir, Amber, Misk","İlkbahar, Yaz",Gündüz,"Ofis, Günlük, Açık Hava","Casual, Şık","Çiçeksi, Taze",Hafif,"ferah, neşeli, zarif","Burberry Her Elixir de Parfum, ferah ve zarif çiçeksi notalara sahip kadınlar için hafif bir parfümdür. Günlük kullanım için idealdir."
B-121,Burberry -goddes,Kadın,,,180.0,90,,"Bergamot, Mandalina, Frezya","Yasemin, Gül, Şakayık","Sedir, Misk, Amber","İlkbahar, Yaz",Gündüz,"Günlük, Ofis, Açık Hava","Casual, Şık",Çiçeksi,Orta,"romantik, taze, zarif","Burberry Goddess, kadınlar için romantik ve taze çiçeksi bir parfümdür. Günlük ve ofis kullanımı için uygundur."
B-122,Burberry - burberry for man,Erkek,,,200.0,72,,"Greyfurt, Biber, Lavanta","Tarçın, Sardunya, Menekşe","Sedir, Vetiver, Paçuli","Sonbahar, Kış","Gündüz, Gece","Ofis, Günlük, Özel Davet","Klasik, Formal","Aromatik, Odunsu",Orta,"güvenli, erkeksi, sofistike","Burberry for Men, erkeksi ve sofistike aromatik odunsu bir koku. Hem gündüz hem gece kullanıma uygundur."
B-123,Burberry - London For Woman,Kadın,,,0.0,70,,"Lavanta, Bergamot, Mandalina","Gül, Yasemin, İris","Misk, Amber, Sandal Ağacı","Sonbahar, Kış","Gündüz, Gece","Ofis, Özel Davet, Günlük","Klasik, Şık","Çiçeksi, Odunsu",Orta,"zarif, klasik, sıcak","Burberry London For Woman, klasik ve zarif çiçeksi odunsu bir kadın parfümüdür. Hem gündüz hem gece kullanıma uygundur."
B-124*,Burberry - Baby Touch,Unisex,,,200.0,,,"Portakal Çiçeği, Mandalina, Bergamot","Yasemin, Gül, Frezya","Misk, Sedir, Vanilya","İlkbahar, Yaz",Gündüz,"Günlük, Açık Hava, Ofis","Casual, Bohem","Çiçeksi, Taze",Hafif,"tatlı, neşeli, genç","Burberry Baby Touch, hafif ve tatlı çiçeksi notalara sahip unisex bir parfümdür. Günlük ve açık hava kullanımı için idealdir."
B-130,Bvlgari - Eau parfumee au the vert extreme,Unisex,,,0.0,80,,"Yeşil Çay, Bergamot, Mandalina","Beyaz Çiçekler, Yasemin, Frezya","Sedir, Misk, Amber","İlkbahar, Yaz",Gündüz,"Günlük, Ofis, Açık Hava","Casual, Sportif","Taze, Çiçeksi",Hafif,"ferah, huzurlu, doğal","Bvlgari Eau Parfumee au The Vert Extreme, yeşil çay ve taze notalarla ferahlatıcı unisex bir koku. Günlük ve ofis kullanımı için uygundur."
B-131,Bvlgari - Man in black,Erkek,,,200.0,148,,"Baharat, Tarçın, Hardal","Tütün, Deri, Zencefil","Amber, Tütsü, Odunsu Notlar","Sonbahar, Kış",Gece,"Gece Hayatı, Özel Davet","Formal, Şık","Oryantal, Deri",Çok Yoğun,"güçlü, maskülen, etkileyici","Bvlgari Man In Black, baharatlı ve deri notalarıyla güçlü ve maskülen bir erkek parfümüdür. Gece kullanımı için idealdir."
B-132,Bvlgari – Omnia Amethyste,Kadın,,,100.0,175,,"Greyfurt, Yeşil Mandalina, Frezya","İris, Yasemin, Heliotrop","Sedir, Beyaz Misk","İlkbahar, Yaz",Gündüz,"Günlük, Ofis, Açık Hava","Casual, Şık","Çiçeksi, Taze",Hafif,"ferah, zarif, genç","Bvlgari Omnia Amethyste, taze ve çiçeksi notalarla kadınlar için hafif ve zarif bir parfümdür. Günlük kullanım için uygundur."
B-133,Bvlgari – Omnia Crystalline,Kadın,,,100.0,150,,"Bergamot, Nashi Armutu, Lotus","Beyaz Çiçekler, Misk","Sedir, Bambu","İlkbahar, Yaz",Gündüz,"Günlük, Ofis, Açık Hava","Casual, Sportif","Taze, Çiçeksi",Hafif,"ferah, saf, modern","Bvlgari Omnia Crystalline, taze ve saf çiçeksi notalarla kadınlar için hafif bir parfümdür. Günlük ve ofis kullanımı için uygundur."
B-134,Bvlgari - tygar le gemme,Erkek,,,150.0,175,,"Biber, Tarçın, Karanfil","Derin Odunsu Notlar, Tütün","Misk, Amber, Deri","Sonbahar, Kış",Gece,"Özel Davet, Gece Hayatı","Formal, Klasik","Odunsu, Deri",Yoğun,"güçlü, maskülen, karizmatik","Bvlgari Tygar Le Gemme, derin odunsu ve deri notalarıyla erkeksi ve karizmatik bir koku. Gece kullanımı için uygundur."
B-135,Bvlgari - Kobraa Le Gemme,Unisex,,,100.0,,,"Narenciye, Baharat","Odunsu Notlar, Misk","Amber, Deri","Sonbahar, Kış",Her İkisi,"Özel Davet, Gece Hayatı, Günlük","Şık, Klasik","Odunsu, Deri",Orta,"gizemli, sofistike, güçlü","Bvlgari Kobraa Le Gemme, narenciye ve deri notalarının birleşimiyle unisex, sofistike bir koku. Hem gündüz hem gece kullanıma uygundur."
B-136,Bvlgari - Le Gemme Ambero,Erkek,,,100.0,,,"Amber, Baharat, Narenciye","Odunsu Notlar, Misk","Vanilya, Deri","Sonbahar, Kış",Gece,"Özel Davet, Gece Hayatı","Formal, Şık","Amber, Oryantal",Çok Yoğun,"sıcak, çekici, lüks","Bvlgari Le Gemme Ambero, amber ve baharat notalarıyla sıcak ve lüks bir erkek parfümüdür. Gece kullanımı için idealdir."
B-137,Bvlgari - Le Gemme Empyr,Erkek,,,100.0,,,"Tütün, Baharat, Odunsu Notlar","Derin Amber, Misk","Deri, Vanilya","Sonbahar, Kış",Gece,"Özel Davet, Gece Hayatı","Formal, Klasik","Deri, Oryantal",Çok Yoğun,"güçlü, karizmatik, sofistike","Bvlgari Le Gemme Empyr, derin deri ve amber notalarıyla karizmatik ve güçlü bir erkek parfümüdür. Gece kullanımı için uygundur."
B-140,BDK Parfums - Rouge Smoking,Unisex,,,300.0,92,,"Bergamot, Greyfurt, Tarçın","Karanfil, Yasemin, Karanfil Tomurcuğu","Paçuli, Vanilya, Amber","Sonbahar,Kış",Gece,"Özel Davet,Gece Hayatı,Romantik","Şık,Formal",Oryantal,Orta,"çekici, gizemli, sofistike","Rouge Smoking, sıcak baharatlar ve vanilya ile zenginleşmiş, sofistike ve gizemli bir unisex parfümdür."
B-141,BDK Parfums - Grıs Chanel Extraıt,Unisex,,,100.0,,,"Greyfurt, Bergamot, Nane","Lavanta, Adaçayı, Biberiye","Sedir, Vetiver, Misk","İlkbahar,Yaz",Gündüz,"Ofis,Günlük,Açık Hava","Casual,Sportif","Aromatik,Taze",Hafif,"ferah, enerjik, canlandırıcı","Gris Charnel Extraıt, ferah ve aromatik notalarıyla günlük kullanım için ideal, enerjik bir unisex parfümdür."
